0.3,0.1,1,134.69,119.86
0.3,0.1,1.1,195.09,60.062
0.3,0.2,0.9,113.28,138.09
0.3,0.2,1,145.16,103.46
0.3,0.2,1.1,174.34,74.959
0.3,0.2,1.2,211.23,41.942
0.3,0.3,0.8,103.75,144.87
0.3,0.3,0.9,127.1,116.88
0.3,0.3,1,146.6,96.283
0.3,0.3,1.1,166.05,77.73
0.3,0.3,1.2,187.82,58.613
0.3,0.3,1.3,217.8,34.079
0.3,0.4,0.7,97.804,148.07
0.3,0.4,0.8,116.39,123.23
0.3,0.4,0.9,131.51,105.88
0.3,0.4,1,145.88,91.263
0.3,0.4,1.1,160.56,77.73
0.3,0.4,1.2,176.45,64.193
0.3,0.4,1.3,195.09,49.332
0.3,0.4,1.4,221.52,29.409
0.3,0.5,0.6,93.471,149.41
0.3,0.5,0.7,108.8,126.28
0.3,0.5,0.8,121.2,110.76
0.3,0.5,0.9,132.79,98.193
0.3,0.5,1,144.3,87.076
0.3,0.5,1.1,156.15,76.628
0.3,0.5,1.2,168.8,66.283
0.3,0.5,1.3,182.89,55.451
0.3,0.5,1.4,199.73,43.153
0.3,0.5,1.5,223.95,26.232
0.3,0.6,0.5,90,149.41
0.3,0.6,0.6,102.84,127.21
0.3,0.6,0.7,113.28,112.88
0.3,0.6,0.8,123.02,101.66
0.3,0.6,0.9,132.58,92.035
0.3,0.6,1,142.25,83.28
0.3,0.6,1.1,152.26,74.959
0.3,0.6,1.2,162.84,66.742
0.3,0.6,1.3,174.34,58.303
0.3,0.6,1.4,187.32,49.217
0.3,0.6,1.5,202.98,38.671
0.3,0.7,0.4,87.01,148.07
0.3,0.7,0.5,97.804,126.28
0.3,0.7,0.6,106.72,112.88
0.3,0.7,0.7,115.08,102.73
0.3,0.7,0.8,123.28,94.236
0.3,0.7,0.9,131.51,86.689
0.3,0.7,1,139.92,79.682
0.3,0.7,1.1,148.64,72.948
0.3,0.7,1.2,157.8,66.283
0.3,0.7,1.3,167.62,59.492
0.3,0.7,1.4,178.37,52.345
0.3,0.7,1.5,190.58,44.496
0.3,0.8,0.3,84.257,144.87
0.3,0.8,0.4,93.272,123.23
0.3,0.8,0.5,100.93,110.76
0.3,0.8,0.6,108.2,101.66
0.3,0.8,0.7,115.37,94.236
0.3,0.8,0.8,122.57,87.747
0.3,0.8,0.9,129.88,81.806
0.3,0.8,1,137.39,76.178
0.3,0.8,1.1,145.16,70.7
0.3,0.8,1.2,153.3,65.244
0.3,0.8,1.3,161.93,59.688
0.3,0.8,1.4,171.21,53.898
0.3,0.8,1.5,181.44,47.693
0.3,0.9,0.2,81.51,138.09
0.3,0.9,0.3,88.904,116.88
0.3,0.9,0.4,95.496,105.88
0.3,0.9,0.5,101.9,98.193
0.3,0.9,0.6,108.27,92.035
0.3,0.9,0.7,114.68,86.689
0.3,0.9,0.8,121.2,81.806
0.3,0.9,0.9,127.85,77.187
0.3,0.9,1,134.69,72.705
0.3,0.9,1.1,141.76,68.269
0.3,0.9,1.2,149.13,63.801
0.3,0.9,1.3,156.88,59.229
0.3,0.9,1.4,165.13,54.473
0.3,0.9,1.5,174.03,49.428
0.3,1,0.1,78.337,119.86
0.3,1,0.2,84.257,103.46
0.3,1,0.3,90,96.283
0.3,1,0.4,95.737,91.263
0.3,1,0.5,101.51,87.076
0.3,1,0.6,107.35,83.28
0.3,1,0.7,113.28,79.682
0.3,1,0.8,119.32,76.178
0.3,1,0.9,125.49,72.705
0.3,1,1,131.83,69.218
0.3,1,1.1,138.37,65.68
0.3,1,1.2,145.16,62.054
0.3,1,1.3,152.26,58.303
0.3,1,1.4,159.73,54.381
0.3,1,1.5,167.7,50.229
0.3,1.1,0.1,77.733,60.062
0.3,1.1,0.2,83.58,74.959
0.3,1.1,0.3,89.109,77.73
0.3,1.1,0.4,94.599,77.73
0.3,1.1,0.5,100.11,76.628
0.3,1.1,0.6,105.67,74.959
0.3,1.1,0.7,111.3,72.948
0.3,1.1,0.8,117.02,70.7
0.3,1.1,0.9,122.86,68.269
0.3,1.1,1,128.83,65.68
0.3,1.1,1.1,134.97,62.945
0.3,1.1,1.2,141.31,60.062
0.3,1.1,1.3,147.9,57.021
0.3,1.1,1.4,154.79,53.804
0.3,1.1,1.5,162.05,50.379
0.3,1.2,0.2,79.713,41.942
0.3,1.2,0.3,86.448,58.613
0.3,1.2,0.4,92.242,64.193
0.3,1.2,0.5,97.804,66.283
0.3,1.2,0.6,103.3,66.742
0.3,1.2,0.7,108.8,66.283
0.3,1.2,0.8,114.34,65.244
0.3,1.2,0.9,119.95,63.801
0.3,1.2,1,125.67,62.054
0.3,1.2,1.1,131.51,60.062
0.3,1.2,1.2,137.51,57.855
0.3,1.2,1.3,143.71,55.451
0.3,1.2,1.4,150.15,52.851
0.3,1.2,1.5,156.88,50.045
0.3,1.3,0.3,81.001,34.079
0.3,1.3,0.4,88.462,49.332
0.3,1.3,0.5,94.546,55.451
0.3,1.3,0.6,100.24,58.303
0.3,1.3,0.7,105.78,59.492
0.3,1.3,0.8,111.27,59.688
0.3,1.3,0.9,116.77,59.229
0.3,1.3,1,122.32,58.303
0.3,1.3,1.1,127.96,57.021
0.3,1.3,1.2,133.72,55.451
0.3,1.3,1.3,139.63,53.633
0.3,1.3,1.4,145.72,51.591
0.3,1.3,1.5,152.04,49.332
0.3,1.4,0.4,81.955,29.409
0.3,1.4,0.5,90,43.153
0.3,1.4,0.6,96.346,49.217
0.3,1.4,0.7,102.17,52.345
0.3,1.4,0.8,107.77,53.898
0.3,1.4,0.9,113.28,54.473
